STT,Ho va ten,Ma sinh vien,Chuyen can,Kiem tra giua ky,Diem BTL,Kiem tra cuoi ky,TBM
1,Pham Minh Chi,B22DCMR561,7.0,3.5,8.2,7.3,6.5
2,Dinh Van Ngan,B22DCKH784,8.7,3.9,4.2,1.4,4.5
3,Phan Bao Minh,B22DCQT500,7.3,1.0,2.7,0.7,2.9
4,Ho Thi Khanh,B22DCAT046,6.2,5.0,3.3,4.3,4.7
5,Dinh Dinh Huy,B22DCQT466,9.3,6.6,4.6,6.3,6.7
6,Duong Manh Trang,B22DCCN863,7.8,7.4,0.1,2.6,4.5
7,Dinh Cong Quang,B22DCKT620,6.1,8.5,4.2,4.5,5.8
8,Hoang Thu Tam,B22DCQT069,9.9,8.8,5.0,0.1,6.0
9,Huynh Huu Duy,B22DCAT004,8.3,5.3,7.2,7.1,7.0
10,Huynh Ngoc Quang,B22DCBC436,6.2,2.1,1.5,0.9,2.7
11,Phan Ngoc Chi,B22DCPT233,8.1,6.9,4.8,8.5,7.1
12,Ly Cong Lan,B22DCCN753,6.6,4.8,9.1,7.2,6.9
13,Do Xuan Linh,B22DCBC107,8.8,0.1,6.1,6.0,5.2
14,Vo Bao Phuong,B22DCFT401,8.9,5.3,3.7,6.8,6.2
15,Dinh Bao Linh,B22DCAT309,7.8,0.3,0.7,9.5,4.6
16,Pham Duc Hai,B22DCKT260,6.2,7.3,1.3,0.2,3.8
17,Mai Thanh Khanh,B22DCKH962,6.4,8.4,1.5,6.5,5.7
18,Phan Van Trang,B22DCBC293,6.8,0.5,2.0,5.7,3.8
19,Ngo Thu Thao,B22DCKT228,7.6,5.4,6.9,8.0,7.0
20,Tran Gia Huong,B22DCVT967,6.5,4.2,2.0,1.1,3.4
21,Duong Quoc Lan,B22DCAT284,7.7,4.2,7.4,2.0,5.3
22,Dang Manh Mai,B22DCQT170,9.3,4.8,0.9,7.5,5.6
23,Ho Ngoc Tu,B22DCAT445,7.9,3.2,4.7,6.0,5.5
24,Ngo Huu Lan,B22DCVT056,7.2,0.6,7.0,0.0,3.7
25,Ngo Cong Binh,B22DCVT109,9.8,4.4,1.0,3.4,4.7
26,Ly Duc Thao,B22DCAT202,7.3,8.4,7.3,8.4,7.8
27,Do Thi Ngan,B22DCVT383,7.6,7.6,7.6,3.5,6.6
28,Ho Cong Bao,B22DCKH055,8.4,4.4,10.0,7.4,7.6
29,Bui Ngoc Thao,B22DCBC437,7.8,7.8,4.1,1.1,5.2
30,Ngo Thanh Son,B22DCBC980,6.8,5.5,7.6,8.2,7.0
31,Le Duc Yen,B22DCMR863,9.7,6.1,0.1,5.4,5.3
32,Tran Bao Anh,B22DCAT165,9.5,9.0,5.7,5.0,7.3
33,Vo Xuan Binh,B22DCQT829,7.5,2.9,0.8,9.6,5.2
34,Duong Cong Thao,B22DCVT869,6.5,7.6,1.2,1.0,4.1
35,Pham Van Chi,B22DCCN494,9.7,3.5,7.4,8.4,7.2
36,Ta Bao Phuong,B22DCVT995,7.1,3.8,6.2,4.0,5.3
37,Vo Cong Mai,B22DCVT226,8.3,7.8,0.5,6.2,5.7
38,Pham Quang Lan,B22DCKH632,8.8,7.2,9.6,4.1,7.4
39,Ngo Manh Phuong,B22DCBC330,6.5,5.5,7.6,0.1,4.9
40,Vu Van Khanh,B22DCVT613,8.1,1.8,9.1,0.4,4.8
41,Phan Quoc Tuan,B22DCCN238,7.4,2.3,9.7,8.6,7.0
42,Le Quang Huy,B22DCMR268,9.1,6.2,1.3,10.0,6.7
43,Tran Ngoc Quan,B22DCVT886,9.0,9.1,8.3,7.8,8.6
44,Pham Bao Nga,B22DCQT332,10.0,5.3,1.1,2.0,4.6
45,Hoang Dinh Hieu,B22DCKT988,9.3,7.1,4.9,5.2,6.6
46,Bui Minh Minh,B22DCKT929,8.1,0.2,6.0,5.6,5.0
47,Nguyen Thanh Son,B22DCVT258,6.7,5.8,2.5,1.1,4.0
48,Duong Ngoc Thang,B22DCKH593,8.0,1.6,1.9,9.0,5.1
49,Tran Duc Linh,B22DCAT412,8.2,8.3,7.0,9.1,8.2
50,Le Huu Trung,B22DCCN485,6.9,8.2,2.4,1.4,4.7
51,Vo Bao Yen,B22DCKH440,9.2,8.0,4.4,3.3,6.2
52,Le Huu Tuan,B22DCCN768,6.7,8.2,7.9,0.1,5.7
